,Location,Value,Title,Category,company,longitude,latitude
12,Accounting,27,Data Analyst,What they studied,Deloitte,,
13,Data Analytics,26,Data Analyst,What they studied,Deloitte,,
14,Statistics,25,Data Analyst,What they studied,Deloitte,,
0,India,4022,Data Analyst,Where they live,ernstandyoung,,
1,United States,1902,Data Analyst,Where they live,ernstandyoung,,
2,"Karnataka, India",1133,Data Analyst,Where they live,ernstandyoung,,
3,Greater Bengaluru Area,1112,Data Analyst,Where they live,ernstandyoung,,
4,Bengaluru,1051,Data Analyst,Where they live,ernstandyoung,,
5,Greater Delhi Area,885,Data Analyst,Where they live,ernstandyoung,,
6,United Kingdom,592,Data Analyst,Where they live,ernstandyoung,,
7,"Maharashtra, India",566,Data Analyst,Where they live,ernstandyoung,,
8,"England, United Kingdom",499,Data Analyst,Where they live,ernstandyoung,,
9,"Kerala, India",488,Data Analyst,Where they live,ernstandyoung,,
10,"Delhi, India",473,Data Analyst,Where they live,ernstandyoung,,
11,New York City Metropolitan Area,459,Data Analyst,Where they live,ernstandyoung,,
12,"Haryana, India",410,Data Analyst,Where they live,ernstandyoung,,
13,Australia,403,Data Analyst,Where they live,ernstandyoung,,
14,"London Area, United Kingdom",330,Data Analyst,Where they live,ernstandyoung,,
0,Monash University,40,Data Analyst,Where they studied,ernstandyoung,145.133607,-37.91063
1,UNSW,36,Data Analyst,Where they studied,ernstandyoung,151.227939,-33.917226
2,University of Melbourne,29,Data Analyst,Where they studied,ernstandyoung,144.9628925,-37.798269
3,RMIT University,27,Data Analyst,Where they studied,ernstandyoung,144.9639,-37.8083
4,University of Sydney,23,Data Analyst,Where they studied,ernstandyoung,151.1868,-33.8884
5,Macquarie University,22,Data Analyst,Where they studied,ernstandyoung,151.112474,-33.7750065
6,University of Technology Sydney,15,Data Analyst,Where they studied,ernstandyoung,151.200549,-33.883964
7,Swinburne University of Technology,14,Data Analyst,Where they studied,ernstandyoung,110.357014,1.532147
8,The Australian National University,11,Data Analyst,Where they studied,ernstandyoung,149.121305,-35.276845
9,Chartered Accountants Australia and New Zealand,10,Data Analyst,Where they studied,ernstandyoung,149.140964,-35.288978
10,Deakin University,9,Data Analyst,Where they studied,ernstandyoung,145.114309,-37.846971
11,QUT (Queensland University of Technology),9,Data Analyst,Where they studied,ernstandyoung,153.027,-27.4773
12,The University of Queensland,8,Data Analyst,Where they studied,ernstandyoung,153.013225,-27.497473
13,La Trobe University,7,Data Analyst,Where they studied,ernstandyoung,145.0482135,-37.7212385
14,Visvesvaraya Technological University,7,Data Analyst,Where they studied,ernstandyoung,-81.220273,28.599615
0,Data Analysis,193,Data Analyst,What they are skilled at,ernstandyoung,,
1,SQL,192,Data Analyst,What they are skilled at,ernstandyoung,,
2,Project Management,145,Data Analyst,What they are skilled at,ernstandyoung,,
3,Microsoft Excel,141,Data Analyst,What they are skilled at,ernstandyoung,,
4,Business Analysis,139,Data Analyst,What they are skilled at,ernstandyoung,,
5,Python,138,Data Analyst,What they are skilled at,ernstandyoung,,
6,Microsoft Office,121,Data Analyst,What they are skilled at,ernstandyoung,,
7,Leadership,114,Data Analyst,What they are skilled at,ernstandyoung,,
8,Business Intelligence (BI),114,Data Analyst,What they are skilled at,ernstandyoung,,
9,Analytical Skills,113,Data Analyst,What they are skilled at,ernstandyoung,,
