id,job_title,Cards_titles,Ratings,Reviews,Salaries,Jobs_count,logo,url
9,Electrical Engineer,Jacobs,3.9,8K,97.5K,1.3K,https://media.glassdoor.com/sql/913/jacobs-squarelogo-1574653848502.png,"https://www.glassdoor.com.au/Overview/Working-at-Jacobs-EI_IE913.11,17.htm"
0,Mining Engineer,Rio Tinto,3.9,2.7K,140K,18,https://media.glassdoor.com/sql/6685/rio-tinto-squareLogo-1683171283625.png,"https://www.glassdoor.com.au/Overview/Working-at-Rio-Tinto-EI_IE6685.11,20.htm"
1,Mining Engineer,BHP,4.1,2.7K,149K,145,https://media.glassdoor.com/sql/3459/bhp-squarelogo-1568088884571.png,"https://www.glassdoor.com.au/Overview/Working-at-BHP-EI_IE3459.11,14.htm"
2,Mining Engineer,Glencore,3.8,917,131.5K,237,https://media.glassdoor.com/sql/12231/glencore-squarelogo-1434964400620.png,"https://www.glassdoor.com.au/Overview/Working-at-Glencore-EI_IE12231.11,19.htm"
3,Mining Engineer,Fortescue,3.6,390,150K,--,https://media.glassdoor.com/sql/100301/fortescue-squarelogo-1709790927570.png,"https://www.glassdoor.com.au/Overview/Working-at-Fortescue-EI_IE100301.11,20.htm"
4,Mining Engineer,Thiess,3.6,216,140.5K,74,https://media.glassdoor.com/sql/307023/thiess-squarelogo.png,"https://www.glassdoor.com.au/Overview/Working-at-Thiess-EI_IE307023.11,17.htm"
5,Mining Engineer,South32,3.8,282,135K,65,https://media.glassdoor.com/sql/1054866/south32-squarelogo-1483653859741.png,"https://www.glassdoor.com.au/Overview/Working-at-South32-EI_IE1054866.11,18.htm"
6,Mining Engineer,Gold Fields,3.8,140,128K,--,https://media.glassdoor.com/sql/7700/gold-fields-squarelogo.png,"https://www.glassdoor.com.au/Overview/Working-at-Gold-Fields-EI_IE7700.11,22.htm"
7,Mining Engineer,Downer,3.5,941,132K,425,https://media.glassdoor.com/sql/41953/downer-group-squarelogo-1413228518321.png,"https://www.glassdoor.com.au/Overview/Working-at-Downer-EI_IE41953.11,17.htm"
8,Mining Engineer,Anglo American,4.4,1.8K,160K,2,https://media.glassdoor.com/sql/3491/anglo-american-squareLogo-1618920968070.png,"https://www.glassdoor.com.au/Overview/Working-at-Anglo-American-EI_IE3491.11,25.htm"
9,Mining Engineer,AngloGold Ashanti,4.1,743,124K,20,https://media.glassdoor.com/sql/5187/anglogold-ashanti-squarelogo-1425277697150.png,"https://www.glassdoor.com.au/Overview/Working-at-AngloGold-Ashanti-EI_IE5187.11,28.htm"
0,Sales Manager,Telstra,4,5K,140K,166,https://media.glassdoor.com/sql/6563/telstra-squareLogo-1689913293501.png,"https://www.glassdoor.com.au/Overview/Working-at-Telstra-EI_IE6563.11,18.htm"
1,Sales Manager,McDonald's,3.5,155.8K,130K,87.9K,https://media.glassdoor.com/sql/432/mcdonald-s-squareLogo-1696368009989.png,"https://www.glassdoor.com.au/Overview/Working-at-McDonald-s-EI_IE432.11,21.htm"
2,Sales Manager,Oracle,3.8,57.1K,237.5K,3.7K,https://media.glassdoor.com/sql/1737/oracle-squarelogo-1570718316042.png,"https://www.glassdoor.com.au/Overview/Working-at-Oracle-EI_IE1737.11,17.htm"
3,Sales Manager,Myer,3.7,1.8K,67K,27,https://media.glassdoor.com/sql/354429/myer-squarelogo.png,"https://www.glassdoor.com.au/Overview/Working-at-Myer-EI_IE354429.11,15.htm"
4,Sales Manager,Optus,3.5,2.3K,125K,6,https://media.glassdoor.com/sql/9784/optus-squarelogo-1620228912481.png,"https://www.glassdoor.com.au/Overview/Working-at-Optus-EI_IE9784.11,16.htm"
5,Sales Manager,David Jones,3.7,1.5K,77K,41,https://media.glassdoor.com/sql/42023/david-jones-squarelogo.png,"https://www.glassdoor.com.au/Overview/Working-at-David-Jones-EI_IE42023.11,22.htm"
6,Sales Manager,Microsoft,4.2,58.9K,296K,2.4K,https://media.glassdoor.com/sql/1651/microsoft-squarelogo-1479856042252.png,"https://www.glassdoor.com.au/Overview/Working-at-Microsoft-EI_IE1651.11,20.htm"
7,Sales Manager,JB Hi-Fi,3.8,1.1K,92.5K,188,https://media.glassdoor.com/sql/473817/jb-hi-fi-squarelogo-1483615387949.png,"https://www.glassdoor.com.au/Overview/Working-at-JB-Hi-Fi-EI_IE473817.11,19.htm"
